ISO;Usable?;Continent;Region;Population;GDP/c PPP 2018 (US$);Country;Index-4;Index-3;Index-2;Index-1;Intergenerational Solidarity Index;Rank;Index0-H-Ind;Index0-En-1-Ind;Index0-En-2-Ind;Index0-En-3-Ind;Index0-En-T-Ind;Index0-Ec-1-Ind;Index0-Ec-2-Ind;Index0-Ec-3-Ind;Index0-Ec-T-Ind;Index0-S-1-Ind;Index0-S-2-Ind;Index0-S-3-Ind;Index0-S-T-Ind;Annual forest cover change  (%);Carbon footprint intensity ($ GDP (PPP) per GHa);Renewable and nuclear (% of energy consumption)*;Wealth inequality Gini coefficient ;Current account balance (%GDP);Adjusted Net Savings (%GNI);Primary pupil: teacher ratio;Child mortality, per 1000*;"Predicted birth rate per woman; adjusted for child mortality";Fossil hydrocarbon production (million Gj/capita);v2x_libdem;AdjDi;FSI
HRV;1;Europe;Europe;4089400;27500;Croatia;71,5;72,5;72,9;74;71,8;17;96,2;100;46,7;35,5;60,8;89,7;100;49,8;79,8;82,6;97,6;50;76,7;0,0208;11700;14,3;63,1;3,27;9,95;13,7;4,9;1,42;19400;0,573;1,32;47,5
CYP;1;Asia;Europe;1189265;;Cyprus;51;53,5;52,2;50,7;45,5;77;100;98,4;64;21,5;61,3;1;48,1;12;20,4;85,7;100;40,2;75,3;-0,0162;16000;3,44;89,8;-5,19;2,39;13;2,74;1,35;0;0,74;0,0669;57,8
CZE;1;Europe;Europe;10625695;39700;Czech Republic;60,7;62,5;65,6;71,4;66,8;30;86,2;100;40,6;50,4;63,7;47,3;100;41,5;62,9;60,3;100;67,9;76,1;0,0802;10200;17,2;75,8;0,764;8,29;18,9;3,16;1,56;71800;0,702;5,5;37,6
DNK;1;Europe;Europe;5797446;55100;Denmark;69;70,2;71,2;76,2;76,3;5;82,1;100;57,3;76,5;77,9;21,3;100;86,9;69,4;96,3;67,8;89,7;84,6;1,03;14300;26,1;83,6;7,74;17,4;10,7;4,22;1,72;93900;0,846;31,5;19,5
ECU;1;Americas;Latin America and the Caribbean;17084357;11700;Ecuador;57,4;58;58,1;60,3;56,2;56;85;47,4;59,1;41,7;49,4;41,3;93,2;57,9;64,1;40,5;59,2;72,5;57,4;-0,624;14800;19,2;77,6;-0,683;11,6;24,5;15,2;2,46;78300;0,472;1,23;71,2
EGY;1;Africa;North Africa and Middle East;98423595;12400;Egypt, Arab Rep.;36,4;35,8;;33,2;31,1;103;92,6;;59,7;17,6;38,6;1;61,7;13,8;25,5;44,1;12,5;36,1;30,9;0,829;14900;3,96;90,9;-3,83;2,75;23,4;23,7;3,33;37600;0,141;0,0422;88,4
SLV;1;Americas;Latin America and the Caribbean;6420744;8320;El Salvador;48;48,9;48,9;52,2;47,2;74;100;3,35;40,7;57,5;33,9;47;65;26,5;46,2;28,2;84,4;88,7;67,1;-1,63;10200;28,8;75,9;-3,5;5,3;28,7;15,4;2,07;0;0,455;0,129;69,8
EST;1;Europe;Europe;1320884;35500;Estonia;68,8;62,8;62,8;64,9;62;44;100;54,2;39;13,5;35,6;63;100;67,9;77;93,2;100;68,4;87,2;-0,528;9760;1,46;71,1;1,93;13,6;11,4;3,2;1,56;0;0,843;2,21;40,8
ETH;1;Africa;Sub-Saharan Africa;109224559;2020;Ethiopia;45,7;45,8;42,5;45,8;44,4;78;100;100;75,4;70,5;82;96;0,263;37,2;44,5;1;70,1;1;24;0,326;18900;39,5;61,2;-9,97;7,45;54,5;63,8;4,27;0;0,154;2,1;94,2
FJI;1;Oceania;Oceania;883483;11000;Fiji;55,3;54,9;49,4;53,4;51,1;65;100;100;47,1;13,6;53,6;68,7;42,7;45,4;52,3;57,2;24,2;61,5;47,6;0,48;11800;9,23;69,4;-5,73;9,07;19,7;24,7;2,72;0;0,383;0;71,7
FIN;1;Europe;Europe;5518050;47900;Finland;75,9;73,6;72,3;72,6;72;16;100;99,9;42,8;82;74,9;44,3;89,2;38,1;57,2;84,3;100;77,4;87,2;-0,00132;10700;47,5;76,7;-1,08;7,63;13,3;2,2;1,63;0;0,803;19,2;16,9
