ISO;Usable?;Continent;Region;Politics;Population;GDP/c PPP 2018;Country;Index-4;Index-3;Index-2;Index-1;Index0;Index0-H-Ind;Index0-En-1-Ind;Index0-En-2-Ind;Index0-En-3-Ind;Index0-En-T-Ind;Index0-Ec-1-Ind;Index0-Ec-2-Ind;Index0-Ec-3-Ind;Index0-Ec-T-Ind;Index0-S-1-Ind;Index0-S-2-Ind;Index0-S-3-Ind;Index0-S-T-Ind;Index0-H-Raw;Index0-En-1-Raw;Index0-En-2-Raw;Index0-En-3-Raw;Index0-Ec-1-Raw;Index0-Ec-2-Raw;Index0-Ec-3-Raw;Index0-S-1-Raw;Index0-S-2-Raw;Index0-S-3-Raw;v2x_libdem;DI adj. for pop., area, and heterogeneity (A =0.1);FSI
CHL;1;Americas;Latin America and the Caribbean;;18729160;25222,52778;Chile;62,61942768;60,85704684;60,22552269;61,62931865;60,81058251;98,73112347;100;48,21932002;40,39280202;62,87070735;42,33333333;78,47809213;25,53610008;48,78250851;61,67366517;67,24327036;91,46609867;73,4610114;6364636969;0,093222778;12054,83001;21,07792638;77,3;-2,152190787;14,89277998;61,67366517;17,24327036;-0,06400426;0,771;1,894625885;38,9
CHN;1;Asia;Eastern Asia;Confucian;1392730000;18210,09398;China;68,29533859;68,27698883;66,24360273;67,94127104;69,80777377;85,60525578;100;24,33742813;37,16577924;53,83440246;62;100;100;87,33333333;70,12235188;72,42888976;79,63523467;74,06215877;74768916546;0,035911375;6084,357032;10,20672449;71,4;1,761097572;-1,363566294;70,12235188;22,42888976;-0,15273574;0,056;5,46357537;71,1
COL;1;Americas;Latin America and the Caribbean;;49648685;14999,44381;Colombia;52,76258444;52,60772993;53,76966616;56,81567691;51,01733238;80,06411314;77,45374955;75,76027017;47,92128385;67,04510119;31;54,03565707;17,38647618;34,14071108;41,3261442;40,04700232;98,56332333;59,97882328;1,05214E+11;-0,012708335;18940,06754;26,57779944;80,7;-4,596434293;16,52270476;41,3261442;-9,95299768;0,03448024;0,475;4,85254325;75,7
CRI;1;Americas;Latin America and the Caribbean;;4999441;17645,09924;Costa Rica;71,77436744;69,58543793;74,65263638;77,94400236;74,7190941;100;100;58,34477567;74,13969862;77,49482476;43,66666667;66,73430735;72,70467449;61,03521617;86,46232286;79,5708428;98,55039733;88,194521;0;0,312248788;14586,19392;48,36469866;76,9;-3,326569265;5,459065102;86,46232286;29,5708428;-0,01087202;0,832;0,148333899;42
CIV;1;Africa;Sub-Saharan Africa;;25069229;4199,667628;Cote d'Ivoire;29,70833291;30,25353941;28,99601778;30,97394664;20,54551639;98,51530124;95,94316716;55,04546203;20,47330894;57,15397938;54;92,28417921;85,72701382;77,33706434;3,899466353;1;1;1,966488784;7451254418;-0,000411447;13761,36551;8,069979532;73,8;-0,771582079;2,854597236;3,899466353;-106,1664872;2,57872786;0,451;0,055119715;92,1
HRV;1;Europe;Southern Europe;Post-communist;4089400;27504,67478;Croatia;71,47854097;72,51058724;72,86650668;73,95655083;71,78176859;96,15476732;100;46,74511136;35,50618234;60,75043123;89,66666667;100;49,76203392;79,80956686;82,56209687;97,64494564;49,99744;76,7348275;19414627269;0,002454015;11686,27784;14,33375104;63,1;3,266034355;10,04759322;82,56209687;47,64494564;-0,3750192;0,573;1,3162925;47,5
CYP;1;Asia;Western Asia;;1189265;0;Cyprus;50,7455285;53,21903745;51,90993161;50,43484467;45,20807561;100;95,23952263;64,04329491;21,51497576;60,2659311;1;48,10784051;11,97005983;20,35930012;85,71165985;100;40,197896;75,30318528;0;-0,000566554;16010,82373;3,437878693;89,8;-5,189215949;17,60598803;85,71165985;62,18523863;-0,44851578;0,74;0,066926865;57,8
CZE;1;Europe;Eastern Europe;Post-communist;10625695;39743,59709;Czech Republic;60,72054674;62,46909874;65,5771447;71,39561821;66,80031113;86,1520654;100;40,63435335;50,38727129;63,67387488;47,33333333;100;41,46975474;62,93436269;60,32726243;100;67,87384;76,06703414;71818630894;0,009545269;10158,58834;17,17994673;75,8;0,764321712;11,70604905;60,32726243;54,62789421;-0,2409462;0,702;5,497676579;37,6
DNK;1;Europe;Northern Europe;Nordic;5797446;55105,0364;Denmark;68,95772167;70,21139292;71,2286958;76,19766723;76,30280671;82,10376938;100;57,25318204;76,53052168;77,92790124;21,33333333;100;86,88378494;69,40570609;96,34708294;67,76514362;89,69277333;84,60166663;93888696769;0,02119089;14313,29551;26,06084271;83,6;7,735996054;2,623243012;96,34708294;17,76514362;-0,0773042;0,846;31,4885058;19,5
ECU;1;Americas;Latin America and the Caribbean;;17084357;11713,69349;Ecuador;52,97177456;53,5845118;53,83299877;56,08944414;52,41708907;84,9583115;19,45792465;59,07609208;41,71658247;40,08353306;41,33333333;93,17119591;57,91309418;64,13920781;40,48605974;59,23496586;72,49338333;57,40480298;78271669623;-0,162175648;14769,02302;19,2121599;77,6;-0,682880409;8,417381164;40,48605974;9,234965864;0,6601588;0,472;1,228745434;71,2
